primary_peer_group_id,peer_group_name,member_count,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_structure,automatic_comparison_eligible,group_status_summary,classification_rationale
PG-주식-미국-대표지수-S-P500-미국-S-P500-S-P500-P-c2eb6d3f91,미국 S&P500 · plain,42,주식,미국,대표지수,S&P500,미국 S&P500,S&P500,plain|neutral|1X,Y,auto_high_confidence:9; verified_official:33,"주식·미국 노출, 대표지수 / 미국 S&P500 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-배당-주주환원-고배당-국내-고배당-고배당-국내-고배당--dd861c8cd4,국내 고배당 · plain,21,주식,국내,배당·주주환원,고배당,국내 고배당,고배당-국내-고배당-2325fcd2e0,plain|neutral|1X,Y,auto_high_confidence:3; verified_official:18,"주식·국내 노출, 배당·주주환원 / 국내 고배당 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-반도체-국내-반도체-반도체-국내-반도체-0E-f4bdfa635d,국내 반도체 · plain,20,주식,국내,산업·섹터,반도체,국내 반도체,반도체-국내-반도체-0ed1f11677,plain|neutral|1X,Y,auto_high_confidence:4; verified_official:16,"주식·국내 노출, 산업·섹터 / 국내 반도체 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-스타일-팩터-스타일-팩터-국내-스타일-팩터-스타일-팩터-ac65317623,국내 스타일·팩터 · plain,19,주식,국내,스타일·팩터,스타일·팩터,국내 스타일·팩터,스타일-팩터-국내-스타일-팩터-bbac88fc35,plain|neutral|1X,Y,auto_high_confidence:3; verified_official:16,"주식·국내 노출, 스타일·팩터 / 국내 스타일·팩터 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-금리-파킹-해당없음-금리-파킹-금리-파킹-머니마켓-RATE-머니마-53401a7911,머니마켓 · rate_return,15,금리·파킹,해당없음,금리·파킹,금리·파킹,머니마켓,RATE_머니마켓-e1b1a267e3,rate_return|neutral|1X,Y,auto_high_confidence:4; verified_official:11,"금리·파킹·해당없음 노출, 금리·파킹 / 머니마켓 투자대상, rate_return|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-리츠-인프라-미국-리츠-인프라-리츠-인프라-미국-리츠-인프라-리츠-05792b6e27,미국 리츠·인프라 · plain,15,리츠·인프라,미국,리츠·인프라,리츠·인프라,미국 리츠·인프라,리츠-인프라-미국-리츠-인프라-a4a89237cc,plain|neutral|1X,Y,verified_official:15,"리츠·인프라·미국 노출, 리츠·인프라 / 미국 리츠·인프라 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-기업집단-기업집단-국내-기업집단-기업집단-국내-기업집단-e294ab8bd9,국내 기업집단 · plain,15,주식,국내,기업집단,기업집단,국내 기업집단,기업집단-국내-기업집단-d62cbfc10d,plain|neutral|1X,Y,auto_high_confidence:3; verified_official:12,"주식·국내 노출, 기업집단 / 국내 기업집단 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-바이오-제약-헬스케어-국내-바이오-제약-헬스-eaf9ac0bdb,국내 바이오·제약·헬스케어 · plain,15,주식,국내,산업·섹터,바이오·제약·헬스케어,국내 바이오·제약·헬스케어,바이오-제약-헬스케어-국내-바이오-제약-헬스케어-d888086019,plain|neutral|1X,Y,auto_high_confidence:4; verified_official:11,"주식·국내 노출, 산업·섹터 / 국내 바이오·제약·헬스케어 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-테마-인공지능-인공지능-일반-인공지능-인공지능-일반-4-e5f6ce4522,인공지능 일반 · plain,15,주식,미국,테마,인공지능,인공지능 일반,인공지능-인공지능-일반-4ef7c7155f,plain|neutral|1X,Y,verified_official:15,"주식·미국 노출, 테마 / 인공지능 일반 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-2차전지-배터리-소재-국내-2차전지-배터리--0cc60d36d9,국내 2차전지·배터리 소재 · plain,13,주식,국내,산업·섹터,2차전지·배터리 소재,국내 2차전지·배터리 소재,2차전지-배터리-소재-국내-2차전지-배터리-소재-1367e96ce1,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:12,"주식·국내 노출, 산업·섹터 / 국내 2차전지·배터리 소재 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-대표지수-나스닥100-미국-나스닥100-NASDAQ10-07ea923e6f,미국 나스닥100 · plain,13,주식,미국,대표지수,나스닥100,미국 나스닥100,NASDAQ100,plain|neutral|1X,Y,auto_high_confidence:2; verified_official:11,"주식·미국 노출, 대표지수 / 미국 나스닥100 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-리츠-인프라-국내-리츠-인프라-리츠-인프라-국내-리츠-인프라-리츠-e3739b3155,국내 리츠·인프라 · plain,12,리츠·인프라,국내,리츠·인프라,리츠·인프라,국내 리츠·인프라,리츠-인프라-국내-리츠-인프라-2ebdba6e66,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:11,"리츠·인프라·국내 노출, 리츠·인프라 / 국내 리츠·인프라 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-금융-은행-증권-보험-국내-금융-은행-증권--955a0a4988,국내 금융·은행·증권·보험 · plain,11,주식,국내,산업·섹터,금융·은행·증권·보험,국내 금융·은행·증권·보험,금융-은행-증권-보험-국내-금융-은행-증권-보험-85a36c5547,plain|neutral|1X,Y,auto_high_confidence:2; verified_official:9,"주식·국내 노출, 산업·섹터 / 국내 금융·은행·증권·보험 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-배당-주주환원-배당다우존스-미국-배당다우존스-DOW-J-f14037f0fe,미국 배당다우존스 · plain,11,주식,미국,배당·주주환원,배당다우존스,미국 배당다우존스,DOW_JONES_DIVIDEND,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:10,"주식·미국 노출, 배당·주주환원 / 미국 배당다우존스 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-금리-파킹-해당없음-금리-파킹-금리-파킹-초단기-금리-RATE-초-58f4b66988,초단기 금리 · rate_return,10,금리·파킹,해당없음,금리·파킹,금리·파킹,초단기 금리,RATE_초단기-금리-70f35d000d,rate_return|neutral|1X,Y,verified_official:10,"금리·파킹·해당없음 노출, 금리·파킹 / 초단기 금리 투자대상, rate_return|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-산업-섹터-반도체-미국-반도체-반도체-미국-반도체-E0-e607778dbd,미국 반도체 · plain,9,주식,미국,산업·섹터,반도체,미국 반도체,반도체-미국-반도체-e09cd52751,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:8,"주식·미국 노출, 산업·섹터 / 미국 반도체 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-미디어-게임-엔터테인먼트-국내-미디어-게임--48c79cc9a6,국내 미디어·게임·엔터테인먼트 · plain,8,주식,국내,산업·섹터,미디어·게임·엔터테인먼트,국내 미디어·게임·엔터테인먼트,미디어-게임-엔터테인먼트-국내-미디어-게임-엔터테인먼트-0ac91da332,plain|neutral|1X,Y,verified_official:8,"주식·국내 노출, 산업·섹터 / 국내 미디어·게임·엔터테인먼트 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-글로벌-테마-인공지능-인공지능-일반-인공지능-인공지능-일반--7fa2ce759b,인공지능 일반 · plain,8,주식,글로벌,테마,인공지능,인공지능 일반,인공지능-인공지능-일반-4ef7c7155f,plain|neutral|1X,Y,auto_high_confidence:2; verified_official:6,"주식·글로벌 노출, 테마 / 인공지능 일반 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-스타일-팩터-스타일-팩터-미국-스타일-팩터-스타일-팩터-e369ea558f,미국 스타일·팩터 · plain,8,주식,미국,스타일·팩터,스타일·팩터,미국 스타일·팩터,스타일-팩터-미국-스타일-팩터-3fe8e2a344,plain|neutral|1X,Y,auto_high_confidence:1; verified_official:7,"주식·미국 노출, 스타일·팩터 / 미국 스타일·팩터 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-금리-파킹-해당없음-금리-파킹-금리-파킹-CD금리-RATE-CD금-d7907e81c4,CD금리 · rate_return,7,금리·파킹,해당없음,금리·파킹,금리·파킹,CD금리,RATE_CD금리-141db05f34,rate_return|neutral|1X,Y,auto_high_confidence:1; verified_official:6,"금리·파킹·해당없음 노출, 금리·파킹 / CD금리 투자대상, rate_return|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-기업집단-기업집단-국내-기업집단-기업집단-국내-기업집단-7d6aab7524,국내 기업집단 · leveraged,7,주식,국내,기업집단,기업집단,국내 기업집단,기업집단-국내-기업집단-d62cbfc10d,leveraged|long|2X,Y,auto_high_confidence:1; verified_official:6,"주식·국내 노출, 기업집단 / 국내 기업집단 투자대상, leveraged|long|2X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-미국-단일-소수종목-단일종목-미국-단일종목-단일종목-미국-단-e74c3f9bef,미국 단일종목 · plain,7,주식,미국,단일·소수종목,단일종목,미국 단일종목,단일종목-미국-단일종목-8a16a0bfdf,plain|neutral|1X,Y,auto_high_confidence:2; verified_official:5,"주식·미국 노출, 단일·소수종목 / 미국 단일종목 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
PG-주식-국내-산업-섹터-조선-국내-조선-조선-국내-조선-03E20F-f1bc10ed93,국내 조선 · plain,6,주식,국내,산업·섹터,조선,국내 조선,조선-국내-조선-03e20f0150,plain|neutral|1X,Y,verified_official:6,"주식·국내 노출, 산업·섹터 / 국내 조선 투자대상, plain|neutral|1X 수익·손실 구조를 공통 기준으로 사용"
