ticker,official_source_url,evidence_summary,source_status,auto_confirm,name_snapshot,base_index_snapshot,final_market_scope,final_asset_class,final_asset_detail,final_fx_hedge
0079X0,https://www.aceetf.co.kr/info/report/1149,"ACE 공식 리포트: BYD 밸류체인 ETF로 안내. BYD와 공급망 기업의 중국 주식 익스포저로 분류.",공식 확인,Y,ACE BYD밸류체인액티브,Bloomberg BYD Plus Top Supply Chain Select Price Return Index,중국,주식,,환노출
0086B0,https://www.tigeretf.com/upload/etf/20250804095126003841.pdf,"TIGER 공식 월간보고서: 국내 부동산 중심 리츠·인프라 10종목 기초지수, 기초자산 국내주식으로 기재.",공식 확인,Y,TIGER 리츠부동산인프라TOP10액티브,KEDI 리츠부동산인프라TOP10지수 (Price Return),국내,리츠/인프라,리츠/인프라,해당없음
0137W0,https://www.kiwoomam.com/fund/KI0202020000M?parentfundcode=3007,"키움 공식 상품 페이지: S&P 500과 금을 90:10으로 혼합한 비교지수를 추종한다고 기재.",공식 확인,N,,,,,,
0150K0,https://www.samsungactive.co.kr/etf/view.do?id=2ETFT9,"삼성액티브 공식 상품 페이지: 국내주식 ETF로 안내하고 FnGuide 수소전력ESS인프라 지수를 비교지수로 기재.",공식 확인,Y,KoAct 수소전력ESS인프라액티브,FnGuide 수소전력ESS인프라 지수(PR),국내,주식,,해당없음
0153P0,https://www.aceetf.co.kr/fund/K55101EP9774,"ACE 공식 상품 페이지: 국내 맥쿼리인프라·리츠 지수 기반 부동산 분리과세 신청 가능 상품으로 안내.",공식 확인,Y,ACE 리츠부동산인프라액티브,FnGuide 맥쿼리인프라 배당 리츠 지수 (시장가격),국내,리츠/인프라,리츠/인프라,해당없음
0184V0,https://www.hyundaiam.com/upload/FUND_ANNT/doc_1780361663350_dedd.pdf,"현대자산운용 공식 투자설명서: UNICORN K바이오 액티브 증권상장지수투자신탁(주식)으로 기재.",공식 확인,Y,UNICORN K바이오액티브,FnGuide K-바이오 밸런스드 지수,국내,주식,바이오,해당없음
0219B0,https://www.samsungactive.co.kr/etf/view.do?id=2ETFV4,"삼성액티브 공식 상품 페이지: 국내주식 ETF로 안내하며 저궤도위성·광통신 인프라 지수를 비교지수로 기재.",공식 확인,Y,KoAct 광통신&위성네트워크액티브,FnGuide 저궤도위성 & 광통신 인프라 지수,국내,주식,,해당없음
160580,https://www.tigeretf.com/upload/etf/20241007063735008127.pdf,"TIGER 공식 보고서: 구리를 기초로 하는 특별자산 ETF임을 확인할 수 있음.",공식 확인,N,,,,,,
321410,https://www.samsungfund.com/etf/product/view.do?id=2ETFB7,"KODEX 공식 상품 페이지: 글로벌 ETF 포트폴리오에 주식·채권·대체투자 자산을 분산투자하고 환헤지로 안내.",공식 확인,Y,KODEX 멀티에셋하이인컴(H),Morningstar Multi-Asset High Income 10% Capped Index,글로벌,혼합자산,,환헤지
329200,https://www.tigeretf.com/upload/etf/20250408022707005958.pdf,"TIGER 공식 월간보고서: 국내 리츠·부동산·인프라 지수와 기초자산 국내주식으로 기재.",공식 확인,Y,TIGER 리츠부동산인프라,FnGuide 리츠부동산인프라,국내,리츠/인프라,리츠/인프라,해당없음
329650,https://www.samsungfund.com/etf/product/view.do?id=2ETFC3,"KODEX 공식 상품 페이지: 글로벌 선진국 주식과 국내채권을 3:7로 투자하는 자산배분 ETF, 환노출로 안내.",공식 확인,Y,KODEX TRF3070,FnGuide TRF 3070 지수,글로벌,혼합자산,,환노출
329660,https://www.samsungfund.com/etf/product/view.do?id=2ETFC2,"KODEX 공식 상품 페이지: 글로벌 선진국 주식과 국내채권을 5:5로 투자하는 자산배분 ETF로 안내.",공식 확인,Y,KODEX TRF5050,FnGuide TRF 5050 지수,글로벌,혼합자산,,환노출
329670,https://www.samsungfund.com/etf/product/view.do?id=2ETFC1,"KODEX 공식 상품 페이지: 글로벌 선진국 주식과 국내채권을 7:3로 투자하는 자산배분 ETF, 환노출로 안내.",공식 확인,Y,KODEX TRF7030,FnGuide TRF 7030 지수,글로벌,혼합자산,,환노출
334690,https://www.riseetf.co.kr/prod/finderDetail/4498,"RISE 공식 상품 페이지: NYMEX 팔라듐 선물 최근월 가격 연동 지수와 (H) 표기를 확인.",공식 확인,N,,,,,,
334700,https://www.riseetf.co.kr/prod/finderDetail/4499,"RISE 공식 상품 페이지: 팔라듐 선물 지수의 일간 -1배 성과와 (H) 표기를 확인.",공식 확인,N,,,,,,
367760,https://www.riseetf.co.kr/prod/finderDetail/44A7,"RISE 공식 상품 페이지: 국내주식 테마 ETF이며 5G 네트워크 인프라 밸류체인 핵심기업에 투자한다고 안내.",공식 확인,Y,RISE 네트워크인프라,FnGuide 네트워크 인프라 지수,국내,주식,,해당없음
400970,https://www.tigeretf.com/upload/etf/20241108081855002033.pdf,"TIGER 공식 월간보고서: 유가증권·코스닥 상장 메타버스 관련 20종목, 기초자산 국내주식으로 기재.",공식 확인,Y,TIGER Fn메타버스,FnGuide 메타버스테마 지수,국내,주식,,해당없음
401170,https://www.riseetf.co.kr/prod/finderDetail/44C2,"RISE 공식 상품 페이지: 메타버스 관련 핵심 국내 주식에 투자한다고 안내.",공식 확인,Y,RISE 메타버스,iSelect 메타버스 지수(시장가격지수),국내,주식,,해당없음
429740,https://www.plusetf.co.kr/product/detail?n=006347,"PLUS 공식 상품 페이지: 국내 상장 순수 리츠에 분산투자하고 국내 상장 리츠 성과를 추종한다고 안내.",공식 확인,Y,PLUS K리츠,FnGuide 리츠 지수,국내,리츠/인프라,리츠/인프라,해당없음
442550,https://www.riseetf.co.kr/prod/finderDetail/44D3,"RISE 공식 상품 페이지: 글로벌 주식·채권·대체자산 분산투자 TDF ETF로 안내. 환헤지 방식은 명시되지 않아 화면 미표시.",공식 확인,Y,RISE TDF2030액티브 적격,iSelect 전략적자산배분 TDF 2030 지수,글로벌,혼합자산,,미확인
442560,https://www.riseetf.co.kr/prod/finderDetail/44D4,"RISE 공식 상품 페이지: 글로벌 주식·채권·대체자산 분산투자 TDF ETF로 안내. 환헤지 방식은 명시되지 않아 화면 미표시.",공식 확인,Y,RISE TDF2040액티브 적격,iSelect 전략적자산배분 TDF 2040 지수,글로벌,혼합자산,,미확인
442570,https://www.riseetf.co.kr/prod/finderDetail/44D5,"RISE 공식 상품 페이지: 글로벌 주식·채권·대체자산 분산투자 TDF ETF로 안내. 환헤지 방식은 명시되지 않아 화면 미표시.",공식 확인,Y,RISE TDF2050액티브 적격,iSelect 전략적자산배분 TDF 2050 지수,글로벌,혼합자산,,미확인
486240,https://asset.daishin.com/ko/?FUND_CODE=48003&m=view&pages=etf&sub=etf5010,"대신자산운용 공식 상품 페이지: 유가증권·코스닥 상장 AI·반도체·소프트웨어·전력인프라 관련 보통주로 구성한다고 안내.",공식 확인,Y,DAISHIN343 AI반도체&인프라액티브,FnGuide AI반도체&인프라 지수,국내,주식,,해당없음
487130,https://www.samsungactive.co.kr/etf/view.do?id=2ETFN8,"삼성액티브 공식 상품 페이지 및 월간자료: 국내 AI 인프라 관련 주식으로 구성된 ETF로 안내.",공식 확인,Y,KoAct AI인프라액티브,Solactive AI인프라 지수,국내,주식,,해당없음
