# 한국거래소(KRX) 휴장일 (YYYYMMDD, 한 줄에 하나)
#
# scripts/check_data_freshness.py가 "기대 최신 거래일"을 계산할 때 사용합니다.
# 주말은 자동으로 제외되므로 여기에는 평일 휴장일만 적습니다.
#
# 갱신 방법
#   매년 12월경 KRX가 다음 해 휴장일을 공지합니다. 그때 아래 목록을 한 번에
#   채워 넣으십시오. 목록에 없는 평일 휴장일에는 신선도 검사가 한 번 실패하며,
#   실패 메시지가 추가해야 할 날짜를 알려주므로 그때 보완해도 됩니다.
#
# 주의
#   정부가 연중에 임시공휴일을 지정하면 미리 알 수 없습니다. 그날 검사가
#   실패하면 해당 날짜를 여기에 추가하십시오.
#   수능일은 휴장일이 아니라 개장·폐장이 1시간씩 늦춰지는 날이므로 제외합니다.

# ── 2026년 ──────────────────────────────────────────────
20260101   # 목 신정
20260216   # 월 설날 연휴
20260217   # 화 설날
20260218   # 수 설날 연휴
20260302   # 월 삼일절(3/1 일) 대체공휴일
20260501   # 금 근로자의날 — 법정공휴일은 아니지만 KRX 휴장
20260505   # 화 어린이날
20260525   # 월 부처님오신날(5/24 일) 대체공휴일
20260603   # 수 제9회 전국동시지방선거
20260817   # 월 광복절(8/15 토) 대체공휴일
20260924   # 목 추석 연휴
20260925   # 금 추석
20261005   # 월 개천절(10/3 토) 대체공휴일
20261009   # 금 한글날
20261225   # 금 성탄절
20261231   # 목 연말 휴장 — 2026년 최종 거래일은 12/30(수)

# 주말과 겹쳐 목록에 넣지 않은 2026년 공휴일(참고용)
#   20260301 일 삼일절 / 20260524 일 부처님오신날 / 20260606 토 현충일
#   20260815 토 광복절 / 20260926 토 추석 연휴 / 20261003 토 개천절
#
# 추석 연휴가 토요일(9/26)과 겹치지만, 설날·추석 연휴는 일요일 또는 다른
# 공휴일과 겹칠 때만 대체공휴일이 생기므로 9/28(월)은 정상 거래일입니다.

# ── 2027년 ──────────────────────────────────────────────
# 연말에 KRX 공지를 확인해 아래를 채우십시오.
20270101   # 금 신정
